Accession	GeneName	Description	NC_1	NC_2	NC_3	NC_4	NC_5	HC_1	HC_2	HC_3	HC_4	HC_5	HD_1	HD_2	HD_3	HD_4	HD_5
Q3TT99	Gdpd4	Glycerophosphodiester phosphodiesterase domain-containing protein 4	776.2056885	723.6311646	1090.863159	967.3736572	986.8959351	1541.023682	1147.15686	742.6003418	1691.890869	NaN	698.6472168	619.7796631	1161.446533	1320.163086	1258.239624
Q3TTA7	Cblb	E3 ubiquitin-protein ligase CBL-B	253.1588135	123.9061661	141.4831543	124.9334106	94.00362396	472.5813293	249.6737823	355.20578	258.1996765	255.5667419	171.1360168	274.1339111	205.9465179	224.6882324	174.8817749
Q3TTP0	Shcbp1l	Testicular spindle-associated protein SHCBP1L	NaN	NaN	NaN	NaN	NaN	NaN	132.1142883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	292.7420959
Q3TTY0	Plb1	Phospholipase B1, membrane-associated	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3TTY5	Krt2	Keratin, type II cytoskeletal 2 epidermal	321.8868103	1912.630859	2820.08374	1430.376343	489.3865356	101.9135132	981.0167847	267.4294739	203.7776642	550.1378174	154.6602936	392.4766541	363.0094604	119.1272888	729.1248779
Q3TUH1	Tamm41	Phosphatidate cytidylyltransferase, mitochondrial	526.8294067	654.5412598	540.4804688	565.3217773	762.7663574	568.6074219	867.9673462	873.7191772	771.5682983	669.2026978	467.1802979	839.6607056	648.0997314	452.0097656	623.984314
Q3TV70	Nr2c2ap	Nuclear receptor 2C2-associated protein	443.4910583	495.8739624	698.9417114	386.8045654	210.2837067	861.4509277	969.9642334	1165.94458	645.9417725	1111.629517	860.776001	687.8516235	280.1538391	577.6566772	410.9161072
Q3TVA9	Ccdc136	Coiled-coil domain-containing protein 136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3TVC7	Ccndbp1	Cyclin-D1-binding protein 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.22461319	NaN	NaN
Q3TVI8	Pbxip1	Pre-B-cell leukemia transcription factor-interacting protein 1	197.4181824	334.7977295	203.1186066	102.8029938	141.5716095	208.7577667	128.7822876	176.4523163	192.0001831	136.4593201	150.1368713	155.5021362	252.1371002	113.305748	272.0450134
Q3TVP5	Otulinl	Inactive ubiquitin thioesterase OTULINL	127.0400314	334.2954407	329.1988831	353.4175415	152.1904907	687.9972534	520.3693237	771.0028687	631.6299438	395.227478	231.3242493	351.0909729	173.7447357	172.5571136	320.7530518
Q3TW96	Uap1l1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	7040.84375	5965.623047	8370.652344	5381.412598	6398.07373	23660.47656	10453.44531	17246.99023	16043.30664	10459.60547	10095.31738	7354.593262	7054.780273	6925.683594	5375.806152
Q3TWF6	Wdr70	WD repeat-containing protein 70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3TWI9	Tmem63b	CSC1-like protein 2	283.9687195	592.9190674	315.7965698	420.3703003	249.8812103	281.6123657	488.3351746	353.5856628	336.6907349	261.3637695	407.0319519	422.9692383	166.9238281	421.3615417	288.0996094
Q3TWL2	Pip4p1	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	1254.983765	1263.19043	1254.294922	1639.736328	1732.762329	2455.205811	1521.311035	2519.347412	1457.061523	1788.100464	1361.532715	1222.541138	1942.413208	1481.641724	1329.860596
Q3TWN3	Cnnm2	Metal transporter CNNM2	1803.484009	2564.421631	1992.547852	2177.791748	2400.468994	788.578186	1727.589722	1059.975342	1171.484741	1560.722656	1856.397461	1291.130859	1045.423218	1572.597534	1788.543945
Q3TWW8	Srsf6	Serine/arginine-rich splicing factor 6	1987.601929	2169.945557	2574.033936	2612.071777	2398.096191	4071.180664	2371.289307	2519.849365	2818.904297	2327.19751	1817.949219	2642.98584	2648.060547	2153.657227	2367.975586
Q3TX08	Trmt1	tRNA (guanine(26)-N(2))-dimethyltransferase	159.7634583	230.7672272	217.3048401	376.4453735	141.1994324	324.3407593	344.1620483	318.9693909	329.6858826	302.4712219	357.8395996	323.9404602	224.1169739	302.1045227	284.5334473
Q3TXS7	Psmd1	26S proteasome non-ATPase regulatory subunit 1	6456.757324	7196.669922	6579.416992	6619.324219	7437.424316	7307.14502	7294.54248	7461.900391	6857.037109	6693.447754	6792.134277	6228.174805	7205.285156	5750.710449	6308.537109
Q3TXT3	Inip	SOSS complex subunit C	489.5019836	492.3308411	491.0700378	432.9628601	NaN	NaN	372.6367493	781.6625977	NaN	NaN	450.4918518	357.476532	399.3345337	NaN	335.6995544
Q3TXU5	Dhps	Deoxyhypusine synthase	583.3244629	343.9032898	481.7347717	826.5037842	864.5349121	489.4724731	274.6578674	232.6607666	429.7205811	271.6051941	342.1611633	336.2381592	757.1100464	481.1222229	399.8779907
Q3TXX3	Zfyve27	Protrudin	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3TYA6	Mphosph8	M-phase phosphoprotein 8	NaN	204.2846985	NaN	NaN	NaN	474.6532898	NaN	244.8659515	205.7704315	87.39070129	153.3500671	NaN	NaN	170.5939789	122.3599243
Q3TYD4	Arsg	Arylsulfatase G	423.58255	269.2320862	426.1613159	265.9416199	378.8979797	218.6899109	246.7490234	315.3843079	304.1201172	119.3254929	NaN	242.6770172	58.44330597	NaN	NaN
Q3TYD6	Lmtk2	Serine/threonine-protein kinase LMTK2	271.5994568	317.8680115	410.2680969	246.6902924	281.3002014	275.8604126	442.8777466	344.5400085	343.5385742	431.3040161	440.8508606	400.0059509	362.2294617	370.4013367	486.5162659
Q3TYL0	Iqank1	IQ motif and ankyrin repeat domain-containing protein 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3TYS2	Cybc1	Cytochrome b-245 chaperone 1	1069.68042	1393.90979	1216.435913	912.2575073	1088.314697	1624.67334	1305.818848	1990.832886	1679.249146	1201.298462	1251.762695	1012.999146	1051.825317	956.3398438	909.824646
Q3TYX2	Lrrn4cl	LRRN4 C-terminal-like protein	3584.313232	2752.387207	1895.829956	1261.135254	1898.592163	1418.350464	1581.202271	2736.527344	1809.460327	956.5736694	1157.603516	1596.688965	551.6576538	965.2926636	1748.395874
Q3TYX3	Smyd5	Protein-lysine N-trimethyltransferase SMYD5	342.4625549	257.1674805	703.8984985	655.5971069	793.5050049	730.7877197	411.3074036	739.3422852	941.9129639	460.1535645	362.9213257	466.019989	816.0394897	659.2843628	491.0922241
Q3TZM9	Alg11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	661.9140015	1239.118408	1014.193909	917.223938	939.2711182	654.1291504	569.211792	737.3233643	777.6621094	609.9038086	906.4650879	616.6901245	726.6849976	695.1663208	588.373291
Q3TZW0	Ecscr	Endothelial cell-specific chemotaxis regulator	447.2133789	206.3539886	590.0626221	827.5222778	905.9238892	491.8373108	655.387085	433.7149963	468.6473999	445.8128052	803.3117676	508.2831116	786.4995117	474.4189758	864.848938
Q3TZX3;Q922G0	Slc25a33;Slc25a36	Solute carrier family 25 member 33;Solute carrier family 25 member 36	NaN	465.0452271	308.7594604	176.4273682	NaN	166.3132324	167.8394928	380.788269	218.509903	195.7515869	268.2382813	NaN	NaN	NaN	297.1697998
Q3TZX8	Nol9	Polynucleotide 5'-hydroxyl-kinase NOL9	246.7524109	627.4924316	524.2088013	541.5143433	427.684906	962.1570435	466.9753418	801.9960938	590.8812256	715.3169556	335.4690247	368.847229	349.14505	411.0361023	283.08255
Q3TZZ7	Esyt2	Extended synaptotagmin-2	7247.431152	11259.18457	9440.384766	9823.758789	9696.25293	6171.955566	9656.107422	8492.459961	6238.553223	8031.537109	7381.498535	6952.082031	9222.583984	7071.214355	7631.480957
Q3U0B3	Dhrs11	Dehydrogenase/reductase SDR family member 11	1744.773071	1136.302612	2124.856689	1978.772705	2360.943604	725.3721313	921.3011475	598.4766235	892.7304077	832.6813965	1513.87561	1216.417725	1728.65271	1230.406616	1981.946533
Q3U0D9	Hace1	E3 ubiquitin-protein ligase HACE1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U0J8	Tbc1d2b	TBC1 domain family member 2B	2120.955322	2468.047852	2552.441895	1915.812256	1875.177002	3999.315186	2299.374023	3587.921387	2874.191406	2423.964355	1966.628662	1945.784302	931.8377075	1785.711914	1637.67627
Q3U0K8	Ogfod1	Prolyl 3-hydroxylase OGFOD1	450.2281799	316.7450867	322.9884644	317.302002	420.6145935	492.0014648	322.0576477	313.2758484	552.4120483	348.6810608	485.1854553	357.9537659	361.5686646	440.0430603	283.0019836
Q3U0M1	Trappc9	Trafficking protein particle complex subunit 9	1568.224365	1809.897217	1556.585693	1920.918457	1797.326172	1604.184814	1454.476563	1722.224854	1573.345215	1420.12561	1494.353638	1481.668701	1270.81543	1770.452271	1543.927124
Q3U0P5	Entpd6	Ectonucleoside triphosphate diphosphohydrolase 6	272.4737549	632.991272	324.1838379	313.4298706	331.650116	375.7558594	489.4292603	473.1098633	519.5864868	648.2536011	553.3287354	336.8431091	299.22052	368.9939575	427.4690247
Q3U0S6	Rasip1	Ras-interacting protein 1	1200.268799	3271.836914	2784.660889	2722.913574	1955.724609	3264.322998	3452.625244	2305.636475	3616.464355	4185.763672	2185.881104	3051.03833	3705.100586	4073.898926	3625.309082
Q3U0V1	Khsrp	Far upstream element-binding protein 2	11070.32031	8584.93457	13885.0752	11030.85547	7051.494629	12181.71289	14176.54102	19965.1582	13514.52734	10883.22949	11659.25977	15912.57617	11982.25977	13807.74512	12257.41504
Q3U0V2	Tradd	Tumor necrosis factor receptor type 1-associated DEATH domain protein	1771.670776	2029.965088	1881.095459	1418.011475	1345.65686	1891.367798	2381.073486	2309.539307	1921.303955	1877.365356	1965.013916	1774.483154	1881.918335	1552.281616	1625.307495
Q3U0Y2	Tmem35b	Transmembrane protein 35B	385.3192749	187.6805573	236.3397369	356.0714111	331.5264893	846.8760986	302.5387878	405.4422302	360.9359436	NaN	285.2580261	309.6526184	236.6099396	285.7008667	267.8037109
Q3U128	Apcdd1	Protein APCDD1	358.5140686	699.8060303	696.8883057	561.4729004	474.8258972	NaN	435.5266724	209.1645966	NaN	394.5280151	474.7496643	315.0806885	301.1555176	334.7620239	254.0857239
Q3U129	B3gntl1	Queuosine-tRNA galactosyltransferase	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U182	Crtc2	CREB-regulated transcription coactivator 2	342.2723694	359.5725403	423.0130615	283.6469116	246.7324982	447.5667114	510.9501648	437.8692322	374.4006958	361.0742188	388.2553101	604.6359863	452.303894	446.1686401	523.029541
Q3U186	Rars2	Probable arginine--tRNA ligase, mitochondrial	642.3405151	469.4024658	416.065033	728.491333	692.9247437	435.3060608	561.1955566	600.9762573	354.0209045	565.2866211	417.7445984	624.3943481	563.9274902	666.4054565	702.6159668
Q3U1C4	Secisbp2	Selenocysteine insertion sequence-binding protein 2	903.7982788	515.1154175	647.475769	1054.619141	836.1153564	300.4820557	614.1026611	362.252594	673.4335938	403.6877441	376.7571411	814.2658081	952.0255127	404.5177612	321.2012024
Q3U1D0	Lins1	Protein Lines homolog 1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U1G5	Isg20l2	Interferon-stimulated 20 kDa exonuclease-like 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U1J4	Ddb1	DNA damage-binding protein 1	9301.230469	7052.677246	7299.171387	7355.363281	7901.897461	6916.182617	6623.946289	5745.72998	7073.986816	7788.777344	8239.112305	8542.544922	7479.467285	7778.376465	7076.510254
Q3U1T3	Brms1l	Breast cancer metastasis-suppressor 1-like protein	444.9306641	185.3763885	203.5841064	195.2075653	131.1165619	319.7442627	239.9014282	208.7959442	170.9966431	152.5664368	218.228302	178.0029755	291.3378906	137.3682556	264.7870178
Q3U1T9	Dennd1b	DENN domain-containing protein 1B	NaN	245.6321564	222.0018616	163.361145	218.14534	907.5480347	258.116394	363.3088379	438.574646	271.8413696	388.6346436	202.6882172	NaN	184.3133392	NaN
Q3U1U7	Ahrr	Aryl hydrocarbon receptor repressor	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U1V6	Uevld	Ubiquitin-conjugating enzyme E2 variant 3	1274.911011	1210.422607	1373.848145	1591.739624	1371.271118	1386.353394	1296.467285	1193.034668	1616.547363	1175.800537	1139.246826	1219.407349	1723.947144	1304.027832	1419.683228
Q3U1V8	Map3k9	Mitogen-activated protein kinase kinase kinase 9	NaN	2716.830322	3102.560059	3441.220215	3987.803711	1814.367188	2342.505615	1490.648438	NaN	1229.357178	2119.105713	NaN	NaN	2475.221436	NaN
Q3U1Y4	Dennd4b	DENN domain-containing protein 4B	408.1936951	458.78302	507.3118286	315.3242493	294.6549072	2017.15564	696.78125	1215.082153	1215.237549	772.9804077	407.5842285	258.5507813	599.4605713	443.0706787	328.8882751
Q3U1Z5	Gpsm3	G-protein-signaling modulator 3	1230.735596	664.7003174	981.7322388	469.0198669	496.3236389	2837.024658	1270.741821	1433.049805	1422.628784	1164.311768	1202.529053	1563.156372	957.3488159	966.6088257	721.1151733
Q3U214	Mast3	Microtubule-associated serine/threonine-protein kinase 3	NaN	NaN	110.7125015	75.58738708	NaN	NaN	42.46096802	129.897934	50.30715179	NaN	NaN	86.46263123	12.02602386	121.9465637	101.6653824
Q3U269	Tstd2	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U276	Sdhaf1	Succinate dehydrogenase assembly factor 1, mitochondrial	611.597229	276.4991455	324.1499329	316.0671387	390.8946228	592.223999	386.4695435	338.9765015	276.0289307	459.1040039	154.42836	567.9214478	385.8153992	578.6485596	640.913147
Q3U284	Tmem231	Transmembrane protein 231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U2A8	Vars2	Valine--tRNA ligase, mitochondrial	333.3787537	343.7757568	272.6620178	443.5762024	638.1402588	223.4533081	200.5484009	340.9130859	306.0055847	247.078949	181.6221313	191.800827	322.6145935	259.1112976	423.3678894
Q3U2C5	Rnf149	E3 ubiquitin-protein ligase RNF149	NaN	381.1152344	312.6394958	193.067688	114.5928497	569.7337036	299.3413086	469.9680481	408.5983276	271.7342529	347.0667725	268.533783	113.5455627	169.9078369	352.4329529
Q3U2I3	Fhip1b	FHF complex subunit HOOK-interacting protein 1B	611.821106	576.1426392	588.9069824	807.6853638	778.5759888	570.84729	538.7172852	559.7780762	561.2695313	636.3030396	332.7757874	579.3132324	547.2121582	783.6956787	982.0703125
Q3U2P1	Sec24a	Protein transport protein Sec24A	1204.415161	1824.192139	1683.295044	1713.864014	1282.049805	2145.878418	2014.27002	1830.100952	1727.805786	2090.296631	1680.586792	1643.678833	1647.921875	1700.656616	2508.866699
Q3U2S8	Hvcn1	Voltage-gated hydrogen channel 1	135.8822784	107.0701752	79.9824295	144.2310638	122.0806046	542.3549805	NaN	193.2454224	176.7677002	119.1619263	161.0727692	222.4654999	97.23787689	102.7104416	53.63209915
Q3U2V3	Nudt18	8-oxo-dGDP phosphatase NUDT18	2034.316284	1720.890991	1620.048584	2056.920654	2559.625244	1015.892212	1140.794678	1045.717041	1298.608765	1647.384888	1967.333618	1317.727783	1804.884644	1575.002808	1490.034668
Q3U308	Ctu2	Cytoplasmic tRNA 2-thiolation protein 2	257.4247742	380.6862488	369.9641724	237.9581299	267.9976501	584.6953735	327.364624	412.150177	405.0696411	375.2130432	499.9099426	424.3388672	329.1677856	491.2573547	448.1246948
Q3U319	Rnf40	E3 ubiquitin-protein ligase BRE1B	263.7819519	246.3551178	199.2433929	252.8907928	167.3790894	397.6906433	318.0610657	298.8293152	267.0426331	274.8345032	231.8284149	246.960144	212.1872559	193.1924133	278.6933899
Q3U3N6	Tepsin	AP-4 complex accessory subunit Tepsin	75.08027649	99.3136673	94.53814697	154.9742584	NaN	130.2542572	157.6024323	319.5048828	15.99328136	74.1023941	118.6308289	NaN	NaN	NaN	116.025238
Q3U3Q1	Ulk3	Serine/threonine-protein kinase ULK3	483.0775146	381.1676025	260.755127	348.6548462	440.1585999	424.3388977	238.6136932	397.8323364	326.6655884	236.7087097	NaN	229.171814	340.8809204	321.37323	274.8965454
Q3U3R4	Lmf1	Lipase maturation factor 1	1780.440063	3362.661621	2546.890869	2292.984131	3504.155762	1292.427002	1547.395142	1424.614746	1372.29126	1553.488037	1456.116821	1177.653687	1327.604492	1862.72998	1640.645386
Q3U3T8	Wdr62	WD repeat-containing protein 62	177.4814453	321.8012695	192.7681122	127.7456741	NaN	203.5914764	265.396637	204.833313	166.3131714	186.2633362	NaN	NaN	NaN	219.7914276	278.6587524
Q3U3W5	Prmt9	Protein arginine N-methyltransferase 9	238.4094696	207.4289551	271.9947205	262.8339539	193.6546783	177.9875031	188.3900299	212.9294434	216.1308136	175.0090027	223.3838348	185.2156982	240.1676025	255.8459625	219.9914856
Q3U481	Mfsd12	Major facilitator superfamily domain-containing protein 12	NaN	NaN	NaN	NaN	108.1447906	754.0036621	250.5231476	578.5834351	186.2533569	251.0966949	NaN	NaN	NaN	NaN	NaN
Q3U487	Hectd3	E3 ubiquitin-protein ligase HECTD3	550.6947021	801.3969116	830.9454956	749.5710449	875.5709229	1261.667114	780.6422729	1010.712036	769.9180298	825.3322754	638.0571289	529.0513916	574.7828369	551.9725342	785.2040405
Q3U492	Kcp	Kielin/chordin-like protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U4G3	Xxylt1	Xyloside xylosyltransferase 1	835.7967529	974.0211792	1007.030396	1006.90271	1317.77124	1546.969238	837.5657349	1439.425903	1238.127075	910.937439	785.9000244	1020.173279	1327.991699	831.3048096	1474.534302
Q3U564	Dcp1b	mRNA-decapping enzyme 1B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3U5C8	Arhgef16	Rho guanine nucleotide exchange factor 16	32.96985245	375.338501	NaN	372.2907715	NaN	NaN	NaN	64.6734314	272.9153748	NaN	163.8604126	450.9360352	36.99429703	NaN	NaN
Q3U5F4	Yrdc	Threonylcarbamoyl-AMP synthase	356.0219421	275.7373657	352.8854675	343.2865601	360.9150391	364.5805969	439.8193665	NaN	305.9345093	171.2401886	305.7226868	187.2348633	256.9444885	NaN	270.1444397
Q3U5Q7	Cmpk2	UMP-CMP kinase 2, mitochondrial	4089.850342	4206.421387	4568.829102	5614.484863	4993.055176	5137.855469	5072.721191	5099.213867	5519.921387	3792.077393	4737.135254	4686.32666	5449.308594	5108.736328	3435.075195
Q3U7R1	Esyt1	Extended synaptotagmin-1	36104.22656	51453.62109	40859.33203	34747.86328	37571.73438	27075.13477	35628.25	31848.22461	27676.73047	32393.32813	36660.06641	27408.83594	33112.92578	32983.07813	34243.83984
Q3U7U3	Fbxo7	F-box only protein 7	641.9718018	478.9947205	666.6437988	682.8700562	669.1629639	879.0752563	606.734375	626.4990845	700.4386597	728.1261597	585.4527588	605.0078125	539.3071899	746.4646606	488.8466492
Q3U829	Ap5z1	AP-5 complex subunit zeta-1	375.3390198	368.8299866	332.7348022	454.4304199	378.8796997	614.190979	404.0713196	531.4316406	514.5703735	432.9024353	307.0966187	332.9684143	301.6435242	327.8451538	512.2945557
Q3U898	Cops9	COP9 signalosome complex subunit 9	223.5746002	171.6641541	119.9618149	87.47557068	253.3888855	130.639328	222.7703247	436.8981018	193.6347504	230.4075012	144.1554565	218.9552155	239.7978821	161.404068	135.2881165
Q3U962	Col5a2	Collagen alpha-2(V) chain	17995.69336	14332.02441	22232.33789	13926.6748	19656.13281	24284.31055	13645.62793	11706.64453	14229.03906	10578.3584	10313.21582	14448.71484	6829.973633	9047.351563	10356.99609
Q3U9G9	Lbr	Delta(14)-sterol reductase LBR	3466.965088	6501.660645	3556.290039	3609.605713	3378.343018	3744.930908	3976.364258	4455.67334	3877.700195	4835.229004	3818.026855	4061.531494	3429.490234	4643.867676	3995.598145
Q3U9N9	Slc16a10	Monocarboxylate transporter 10	2988.02124	3123.833496	2182.02124	3339.201172	2872.455322	1088.261719	2098.637207	1759.835938	1325.879272	2179.422363	3639.987549	1283.207886	2775.511963	3459.194336	2732.677246
Q3UA16	Spc25	Kinetochore protein Spc25	NaN	NaN	NaN	NaN	NaN	130.3249512	198.679245	167.7099152	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3UA37	Qrich1	Transcriptional regulator QRICH1	227.8019409	448.276062	554.6074829	356.7055359	260.1627197	290.0377808	566.9706421	739.5811768	469.041687	375.019928	380.6623535	349.5689392	390.7927856	287.0362549	558.1239624
Q3UBG2	Pid1	PTB-containing, cubilin and LRP1-interacting protein	792.8392944	623.5950317	876.4541016	695.909668	761.1820679	516.9185181	695.5981445	640.272583	586.7196045	535.0222778	606.8317871	514.3745728	557.0145874	611.6442871	390.4051208
Q3UBX0	Tmem109	Voltage-gated monoatomic cation channel TMEM109	26014.04883	20400.51953	20569.07617	25345.04883	27660.45508	19568.77148	18994.44531	17178.94922	13170.08203	18751.14648	17844.14648	20315.74805	25062.41602	16916.14063	22314.19336
Q3UBZ5	Mif4gd	MIF4G domain-containing protein	4844.158203	4308.459961	4477.17334	4173.904785	4495.209473	2427.263916	3192.244141	3073.531738	3107.492676	3169.314697	4989.82666	3538.951904	4225.894531	3411.200684	4139.792969
Q3UCV8	Otulin	Ubiquitin thioesterase otulin	754.1615601	764.1713257	724.8905029	666.9475098	760.6589355	630.3765869	606.5428467	659.9258423	789.8884888	647.6680908	515.8588867	581.9395752	521.1147461	655.6295166	616.3640747
Q3UD01	Atxn7l3b	Ataxin-7-like protein 3B	667.3555908	903.9138794	728.1243896	452.4331665	355.7770691	726.4998779	1127.249634	978.838562	423.2976074	419.3505554	643.3912354	1100.94397	769.7433472	495.0949402	1357.527588
Q3UDE2	Ttll12	Tubulin--tyrosine ligase-like protein 12	5601.369629	4457.763184	6161.921875	5585.342773	6070.614258	4510.34082	4206.488281	4501.539063	5822.493164	4294.205566	5144.92041	4467.382813	5938.572754	5014.345703	4540.818848
Q3UDF0	Slc2a6	Solute carrier family 2, facilitated glucose transporter member 6	195.2277374	150.0063019	99.05191803	NaN	NaN	267.7838135	187.5930634	137.2301788	88.01115417	37.69379807	160.0939178	223.8056488	NaN	77.26787567	NaN
Q3UDK1	Trafd1	TRAF-type zinc finger domain-containing protein 1	985.4879761	941.2805786	869.1275024	865.9672852	751.2792969	986.9299927	1227.807129	1050.270508	844.9317627	791.1883545	958.4886475	814.1259155	947.4459839	825.7950439	1049.646118
Q3UDP0	Wdr41	WD repeat-containing protein 41	374.3097534	691.8770752	530.164917	570.7860718	608.9306641	894.3168335	751.142334	916.6121216	815.7053833	646.1299438	594.6225586	548.0546265	423.7425232	622.7890015	510.1591797
Q3UDR8	Yipf3	Protein YIPF3	626.0322876	957.7139282	780.3803711	689.5891113	792.4390869	981.7220459	1041.672119	1194.287964	904.6004639	772.1630249	752.2893066	849.6411133	1245.059937	871.7055664	831.9748535
Q3UDW8	Hgsnat	Heparan-alpha-glucosaminide N-acetyltransferase	2198.108643	3358.299316	2715.354004	2292.522217	2203.05542	4722.40625	3445.002441	4679.817871	3135.630859	2844.698242	2550.265137	2620.595703	1328.253906	2749.88916	2764.188965
Q3UE31		Uncharacterized protein KIAA0930 homolog	233.4661865	219.5092926	301.3988647	264.8474121	258.9449158	340.1766663	237.401001	348.9938049	298.0959167	88.01583862	273.7619019	NaN	NaN	NaN	NaN
Q3UE37	Ube2z	Ubiquitin-conjugating enzyme E2 Z	4488.29834	4148.597168	4166.961426	3627.505615	3785.056396	4760.374512	4053.954102	3852.651367	4717.202148	3972.334717	5042.646484	4355.709961	5580.790527	4293.515625	3656.643066
Q3UEB3	Puf60	Poly(U)-binding-splicing factor PUF60	1967.672241	1892.858643	2329.904541	1881.641602	1467.858154	3215.432373	2467.223389	2781.258789	2863.987305	2399.990723	2493.454102	2335.412598	2357.814453	2584.645508	1816.285034
Q3UEG6	Agxt2	Alanine--glyoxylate aminotransferase 2, mitochondrial	800.5362549	775.7799683	654.0887451	399.4962463	NaN	258.3712158	332.865448	351.8537292	NaN	NaN	470.6390991	612.8204346	NaN	248.6232147	2862.950928
Q3UFF7	Lyplal1	Lysophospholipase-like protein 1	6765.401855	8503.776367	6468.595703	8366.557617	7756.606934	2647.280029	5227.646484	4418.752441	6030.42334	5754.870117	5454.162598	5536.891113	7193.26709	6564.067871	5522.447754
Q3UFK8	Frmd8	FERM domain-containing protein 8	395.1946106	516.5373535	663.3389893	664.7457275	619.2200928	500.6824036	598.8530884	588.2463379	536.5794067	531.5252075	564.5784912	463.1607971	533.7939453	545.4239502	621.84021
Q3UFS0	Zyg11b	Protein zyg-11 homolog B	669.8325195	978.6691895	988.3363647	866.1299438	957.9319458	810.3609009	832.5882568	829.918396	758.9001465	953.1417847	996.2244873	753.5900269	841.0375366	856.6029053	848.2230225
Q3UFS4	Gpatch11	G patch domain-containing protein 11	355.7841187	290.2053528	170.0932312	390.7718201	683.645874	194.0836639	260.1838074	426.6157532	210.6640015	268.2321777	213.6160889	297.825592	250.8967285	NaN	469.0273743
Q3UFY7	Nt5c3b	7-methylguanosine phosphate-specific 5'-nucleotidase	389.5781555	554.4470825	740.9949951	880.0119019	797.0651245	567.430542	619.8737183	398.2857666	460.8735657	503.3154297	373.5654297	501.1698914	508.876709	663.1524658	807.3363037
Q3UFY8	Trmt10c	tRNA methyltransferase 10 homolog C	350.3847656	289.4897461	191.1109161	417.5010681	331.8221436	338.105072	213.6554565	254.6201019	283.9807129	248.2489929	309.0148315	272.4007874	271.7636719	330.5174561	347.0160828
Q3UG98	Nat9	Alpha/beta-tubulin-N-acetyltransferase 9	295.484436	216.1307983	404.3517456	297.0861206	278.6074829	214.9146881	161.2709198	240.7470703	329.2090149	173.7754211	479.5523987	222.7239075	569.0739136	185.2318878	456.8631287
Q3UGC7	Eif3j1	Eukaryotic translation initiation factor 3 subunit J-A	12613.68555	9103.217773	10638.68457	11799.96387	9413.432617	8289.591797	9013.986328	7320.833496	8653.40918	10913.00098	12934.77734	11485.21191	16470.17188	12592.02441	14122.98828
Q3UGF1	Wdr19	WD repeat-containing protein 19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q3UGP8	Alg10b	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	287.9721375	589.3754883	526.8378296	469.0742188	491.5404968	261.9155273	342.6568604	338.0216064	292.2680969	319.2511902	399.8688049	338.1725159	135.4544678	474.2225037	364.5631714
Q3UGP9	Lrrc58	Leucine-rich repeat-containing protein 58	308.3013306	314.1257324	384.8972778	375.0548096	429.0455627	267.6768188	273.3299255	304.9289551	156.5675354	314.4489441	113.615036	139.8824005	534.2254028	190.461853	257.5097351
